questid;objectiveid
1;1
1;2
1;3
1;4
1;5
1;6
1;7
1;8
1;9
1;10
1;11
1;12
1;13
1;14
1;15
1;16
1;17
1;18
1;19
1;20
1;21
1;22
1;23
1;24
1;25
1;26
1;27
1;28
1;29
1;30
1;31
1;32
1;33
1;34
1;35
1;36
1;37
1;38
1;39
1;40
1;41
1;42
1;43
1;44
1;45
1;46
1;47
1;48
1;49
1;50
1;51
1;52
1;53
1;54
1;55
1;56
1;57
1;58
1;59
1;60
1;61
1;62
1;63
1;64
1;65
1;66
1;67
1;68
1;69
1;70
1;71
1;72
1;73
1;74
1;75
1;76
1;77
1;78
1;79
1;80
1;81
1;82
1;83
1;84
1;85
1;86
1;87
1;88
1;89
1;90
1;91
1;92
1;93
1;94
1;95
1;96
1;97
1;98
1;99
1;100
1;101
1;102
1;103
1;104
1;105
1;106
1;107
1;108
1;109
1;110
1;111
1;112
1;113
1;114
1;115
1;116
1;117
1;118
1;119
1;120
1;121
1;122
1;123
1;124
1;125
1;126
1;127
1;128
1;129
1;130
1;131
1;132
1;133
1;134
1;135
2;136
2;137
2;138
2;139
2;140
2;141
2;142
2;143
2;144
2;145
2;146
2;147
2;148
2;149
2;150
2;151
2;152
2;153
2;154
2;155
2;156
2;157
2;158
2;159
2;160
2;161
2;162
2;163
2;164
2;165
2;166
2;167
2;168
2;169
2;170
2;171
2;172
2;173
2;174
2;175
2;176
2;177
2;178
2;179
2;180
2;181
2;182
2;183
2;184
2;185
2;186
2;187
2;188
2;189
2;190
2;191
2;192
2;193
2;194
2;195
2;196
2;197
2;198
2;199
2;200
2;201
2;202
2;203
2;204
2;205
2;206
2;207
2;208
2;209
2;210
2;211
2;212
2;213
2;214
2;215
2;216
2;217
2;218
2;219
2;220
2;221
2;222
2;223
2;224
2;225
2;226
2;227
2;228
2;229
2;230
2;231
2;232
2;233
2;234
2;235
3;236
3;237
3;238
3;239
3;240
3;241
3;242
3;243
3;244
3;245
3;246
3;247
3;248
3;249
3;250
3;251
3;252
3;253
3;254
3;255
3;256
3;257
3;258
3;259
3;260
3;261
3;262
3;263
3;264
3;265
3;266
3;267
3;268
3;269
3;270
3;271
3;272
3;273
3;274
3;275
3;276
3;277
3;278
3;279
3;280
3;281
3;282
3;283
3;284
3;285
3;286
3;287
3;288
3;289
3;290
3;291
3;292
3;293
3;294
3;295
3;296
3;297
3;298
3;299
3;300
3;301
3;302
3;303
3;304
3;305
3;306
3;307
3;308
3;309
3;310
3;311
3;312
3;313
3;314
3;315
3;316
3;317
3;318
3;319
3;320
3;321
3;322
3;323
3;324
3;325
3;326
3;327
3;328
3;329
3;330
3;331
3;332
3;333
3;334
3;335
4;336
4;337
4;338
4;339
4;340
4;341
4;342
4;343
4;344
4;345
4;346
4;347
4;348
4;349
4;350
4;351
4;352
4;353
4;354
4;355
4;356
4;357
4;358
4;359
4;360
4;361
4;362
4;363
4;364
4;365
4;366
4;367
4;368
4;369
4;370
4;371
4;372
4;373
4;374
4;375
4;376
4;377
4;378
4;379
4;380
4;381
4;382
4;383
4;384
4;385
4;386
4;387
4;388
4;389
4;390
4;391
4;392
4;393
4;394
4;395
4;396
4;397
4;398
4;399
4;400
4;401
4;402
4;403
4;404
4;405
4;406
4;407
4;408
4;409
4;410
4;411
4;412
4;413
4;414
4;415
4;416
4;417
4;418
4;419
4;420
4;421
4;422
4;423
4;424
4;425
4;426
4;427
4;428
4;429
4;430
4;431
4;432
4;433
4;434
4;435
5;436
5;437
5;438
5;439
5;440
5;441
5;442
5;443
5;444
5;445
5;446
5;447
5;448
5;449
5;450
5;451
5;452
5;453
5;454
5;455
5;456
5;457
5;458
5;459
5;460
5;461
5;462
5;463
5;464
5;465
5;466
5;467
5;468
5;469
5;470
5;471
5;472
5;473
5;474
5;475
5;476
5;477
5;478
5;479
5;480
5;481
5;482
5;483
5;484
5;485
5;486
5;487
5;488
5;489
5;490
5;491
5;492
5;493
5;494
5;495
5;496
5;497
5;498
5;499
5;500
5;501
5;502
5;503
5;504
5;505
5;506
5;507
5;508
5;509
5;510
5;511
5;512
5;513
5;514
5;515
5;516
5;517
5;518
5;519
5;520
5;521
5;522
5;523
5;524
5;525
5;526
5;527
5;528
5;529
5;530
5;531
5;532
5;533
5;534
5;535
6;536
6;537
6;538
6;539
6;540
6;541
6;542
6;543
6;544
6;545
6;546
6;547
6;548
6;549
6;550
6;551
6;552
6;553
6;554
6;555
6;556
6;557
6;558
6;559
6;560
6;561
6;562
6;563
6;564
6;565
6;566
6;567
6;568
6;569
6;570
6;571
6;572
6;573
6;574
6;575
6;576
6;577
6;578
6;579
6;580
6;581
6;582
6;583
6;584
6;585
6;586
6;587
6;588
6;589
6;590
6;591
6;592
6;593
6;594
6;595
6;596
6;597
6;598
6;599
6;600
6;601
6;602
6;603
6;604
6;605
6;606
6;607
6;608
6;609
6;610
6;611
6;612
6;613
6;614
6;615
6;616
6;617
6;618
6;619
6;620
6;621
6;622
6;623
6;624
6;625
6;626
6;627
6;628
6;629
6;630
6;631
6;632
6;633
6;634
6;635
7;636
7;637
7;638
7;639
7;640
7;641
7;642
7;643
7;644
7;645
7;646
7;647
7;648
7;649
7;650
7;651
7;652
7;653
7;654
7;655
7;656
7;657
7;658
7;659
7;660
7;661
7;662
7;663
7;664
7;665
7;666
7;667
7;668
7;669
7;670
7;671
7;672
7;673
7;674
7;675
7;676
7;677
7;678
7;679
7;680
7;681
7;682
7;683
7;684
7;685
7;686
7;687
7;688
7;689
7;690
7;691
7;692
7;693
7;694
7;695
7;696
7;697
7;698
7;699
7;700
7;701
7;702
7;703
7;704
7;705
7;706
7;707
7;708
7;709
7;710
7;711
7;712
7;713
7;714
7;715
7;716
7;717
7;718
7;719
7;720
7;721
7;722
7;723
7;724
7;725
7;726
7;727
7;728
7;729
7;730
7;731
7;732
7;733
7;734
7;735
8;736
8;737
8;738
8;739
8;740
8;741
8;742
8;743
8;744
8;745
8;746
8;747
8;748
8;749
8;750
8;751
8;752
8;753
8;754
8;755
8;756
8;757
8;758
8;759
8;760
8;761
8;762
8;763
8;764
8;765
8;766
8;767
8;768
8;769
8;770
8;771
8;772
8;773
8;774
8;775
8;776
8;777
8;778
8;779
8;780
8;781
8;782
8;783
8;784
8;785
8;786
8;787
8;788
8;789
8;790
8;791
8;792
8;793
8;794
8;795
8;796
8;797
8;798
8;799
8;800
8;801
8;802
8;803
8;804
8;805
8;806
8;807
8;808
8;809
8;810
8;811
8;812
8;813
8;814
8;815
8;816
8;817
8;818
8;819
8;820
8;821
8;822
8;823
8;824
8;825
8;826
8;827
8;828
8;829
8;830
8;831
8;832
8;833
8;834
8;835
9;836
9;837
9;838
9;839
9;840
9;841
9;842
9;843
9;844
9;845
9;846
9;847
9;848
9;849
9;850
9;851
9;852
9;853
9;854
9;855
9;856
9;857
9;858
9;859
9;860
9;861
9;862
9;863
9;864
9;865
9;866
9;867
9;868
9;869
9;870
9;871
9;872
9;873
9;874
9;875
9;876
9;877
9;878
9;879
9;880
9;881
9;882
9;883
9;884
9;885
9;886
9;887
9;888
9;889
9;890
9;891
9;892
9;893
9;894
9;895
9;896
9;897
9;898
9;899
9;900
9;901
9;902
9;903
9;904
9;905
9;906
9;907
9;908
9;909
9;910
9;911
9;912
9;913
9;914
9;915
9;916
9;917
9;918
9;919
9;920
9;921
9;922
9;923
9;924
9;925
9;926
9;927
9;928
9;929
9;930
9;931
9;932
9;933
9;934
9;935
10;936
10;937
10;938
10;939
10;940
10;941
10;942
10;943
10;944
10;945
10;946
10;947
10;948
10;949
10;950
10;951
10;952
10;953
10;954
10;955
10;956
10;957
10;958
10;959
10;960
10;961
10;962
10;963
10;964
10;965
10;966
10;967
10;968
10;969
10;970
10;971
10;972
10;973
10;974
10;975
10;976
10;977
10;978
10;979
10;980
10;981
10;982
10;983
10;984
10;985
10;986
10;987
10;988
10;989
10;990
10;991
10;992
10;993
10;994
10;995
10;996
10;997
10;998
10;999
10;1000
10;1001
10;1002
10;1003
10;1004
10;1005
10;1006
10;1007
10;1008
10;1009
10;1010
10;1011
10;1012
10;1013
10;1014
10;1015
10;1016
10;1017
10;1018
10;1019
10;1020
10;1021
10;1022
10;1023
10;1024
10;1025
10;1026
10;1027
10;1028
10;1029
10;1030
10;1031
10;1032
10;1033
10;1034
10;1035
11;1036
11;1037
11;1038
11;1039
11;1040
11;1041
11;1042
11;1043
11;1044
11;1045
11;1046
11;1047
11;1048
11;1049
11;1050
11;1051
11;1052
11;1053
11;1054
11;1055
11;1056
11;1057
11;1058
11;1059
11;1060
11;1061
11;1062
11;1063
11;1064
11;1065
11;1066
11;1067
11;1068
11;1069
11;1070
11;1071
11;1072
11;1073
11;1074
11;1075
11;1076
11;1077
11;1078
11;1079
11;1080
11;1081
11;1082
11;1083
11;1084
11;1085
11;1086
11;1087
11;1088
11;1089
11;1090
11;1091
11;1092
11;1093
11;1094
11;1095
11;1096
11;1097
11;1098
11;1099
11;1100
11;1101
11;1102
11;1103
11;1104
11;1105
11;1106
11;1107
11;1108
11;1109
11;1110
11;1111
11;1112
11;1113
11;1114
11;1115
11;1116
11;1117
11;1118
11;1119
11;1120
11;1121
11;1122
11;1123
11;1124
11;1125
11;1126
11;1127
11;1128
11;1129
11;1130
11;1131
11;1132
11;1133
11;1134
11;1135
12;1136
12;1137
12;1138
12;1139
12;1140
12;1141
12;1142
12;1143
12;1144
12;1145
12;1146
12;1147
12;1148
12;1149
12;1150
12;1151
12;1152
12;1153
12;1154
12;1155
12;1156
12;1157
12;1158
12;1159
12;1160
12;1161
12;1162
12;1163
12;1164
12;1165
12;1166
12;1167
12;1168
12;1169
12;1170
12;1171
12;1172
12;1173
12;1174
12;1175
12;1176
12;1177
12;1178
12;1179
12;1180
12;1181
12;1182
12;1183
12;1184
12;1185
12;1186
12;1187
12;1188
12;1189
12;1190
12;1191
12;1192
12;1193
12;1194
12;1195
12;1196
12;1197
12;1198
12;1199
12;1200
12;1201
12;1202
12;1203
12;1204
12;1205
12;1206
12;1207
12;1208
12;1209
12;1210
12;1211
12;1212
12;1213
12;1214
12;1215
12;1216
12;1217
12;1218
12;1219
12;1220
12;1221
12;1222
12;1223
12;1224
12;1225
12;1226
12;1227
12;1228
12;1229
12;1230
12;1231
12;1232
12;1233
12;1234
12;1235
13;1236
13;1237
13;1238
13;1239
13;1240
13;1241
13;1242
13;1243
13;1244
13;1245
13;1246
13;1247
13;1248
13;1249
13;1250
13;1251
13;1252
13;1253
13;1254
13;1255
13;1256
13;1257
13;1258
13;1259
13;1260
13;1261
13;1262
13;1263
13;1264
13;1265
13;1266
13;1267
13;1268
13;1269
13;1270
13;1271
13;1272
13;1273
13;1274
13;1275
13;1276
13;1277
13;1278
13;1279
13;1280
13;1281
13;1282
13;1283
13;1284
13;1285
13;1286
13;1287
13;1288
13;1289
13;1290
13;1291
13;1292
13;1293
13;1294
13;1295
13;1296
13;1297
13;1298
13;1299
13;1300
13;1301
13;1302
13;1303
13;1304
13;1305
13;1306
13;1307
13;1308
13;1309
13;1310
13;1311
13;1312
13;1313
13;1314
13;1315
13;1316
13;1317
13;1318
13;1319
13;1320
13;1321
13;1322
13;1323
13;1324
13;1325
13;1326
13;1327
13;1328
13;1329
13;1330
13;1331
13;1332
13;1333
13;1334
13;1335
14;1336
14;1337
14;1338
14;1339
14;1340
14;1341
14;1342
14;1343
14;1344
14;1345
14;1346
14;1347
14;1348
14;1349
14;1350
14;1351
14;1352
14;1353
14;1354
14;1355
14;1356
14;1357
14;1358
14;1359
14;1360
14;1361
14;1362
14;1363
14;1364
14;1365
14;1366
14;1367
14;1368
14;1369
14;1370
14;1371
14;1372
14;1373
14;1374
14;1375
14;1376
14;1377
14;1378
14;1379
14;1380
14;1381
14;1382
14;1383
14;1384
14;1385
14;1386
14;1387
14;1388
14;1389
14;1390
14;1391
14;1392
14;1393
14;1394
14;1395
14;1396
14;1397
14;1398
14;1399
14;1400
14;1401
14;1402
14;1403
14;1404
14;1405
14;1406
14;1407
14;1408
14;1409
14;1410
14;1411
14;1412
14;1413
14;1414
14;1415
14;1416
14;1417
14;1418
14;1419
14;1420
14;1421
14;1422
14;1423
14;1424
14;1425
14;1426
14;1427
14;1428
14;1429
14;1430
14;1431
14;1432
14;1433
14;1434
14;1435
15;1436
15;1437
15;1438
15;1439
15;1440
15;1441
15;1442
15;1443
15;1444
15;1445
15;1446
15;1447
15;1448
15;1449
15;1450
15;1451
15;1452
15;1453
15;1454
15;1455
15;1456
15;1457
15;1458
15;1459
15;1460
15;1461
15;1462
15;1463
15;1464
15;1465
15;1466
15;1467
15;1468
15;1469
15;1470
15;1471
15;1472
15;1473
15;1474
15;1475
15;1476
15;1477
15;1478
15;1479
15;1480
15;1481
15;1482
15;1483
15;1484
15;1485
15;1486
15;1487
15;1488
15;1489
15;1490
15;1491
15;1492
15;1493
15;1494
15;1495
15;1496
15;1497
15;1498
15;1499
15;1500
15;1501
15;1502
15;1503
15;1504
15;1505
15;1506
15;1507
15;1508
